antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'七彩椒(份)'}),frozenset({'云南生菜'}),0.00012851818532322323,0.09214753887675106,0.00012851818532322323,1.0,10.852161785216179,0.00011667555084478202,inf,0.9079691516709512
frozenset({'红椒(份)'}),frozenset({'上海青'}),0.00012851818532322323,0.03919804652358309,0.00012851818532322323,1.0,25.511475409836066,0.00012348052351579704,inf,0.9609254498714652
frozenset({'西峡花菇(2)'}),frozenset({'上海青'}),0.00012851818532322323,0.03919804652358309,0.00012851818532322323,1.0,25.511475409836066,0.00012348052351579704,inf,0.9609254498714652
frozenset({'艾蒿'}),frozenset({'云南生菜'}),0.00012851818532322323,0.09214753887675106,0.00012851818532322323,1.0,10.852161785216179,0.00011667555084478202,inf,0.9079691516709512
frozenset({'冰草'}),frozenset({'小青菜(份)'}),0.00012851818532322323,0.008482200231332733,0.00012851818532322323,1.0,117.8939393939394,0.00012742806834194412,inf,0.9916452442159384
frozenset({'冰草(盒)'}),frozenset({'西峡香菇(1)'}),0.00012851818532322323,0.10345713918519471,0.00012851818532322323,1.0,9.66583850931677,0.00011522206153640988,inf,0.8966580976863754
frozenset({'大白菜秧'}),frozenset({'净藕(1)'}),0.00012851818532322323,0.09266161161804395,0.00012851818532322323,1.0,10.791955617198335,0.00011660948314894692,inf,0.9074550128534705
frozenset({'鲜粽叶'}),frozenset({'净藕(1)'}),0.00012851818532322323,0.09266161161804395,0.00012851818532322323,1.0,10.791955617198335,0.00011660948314894692,inf,0.9074550128534705
frozenset({'和丰阳光海鲜菇(包)'}),frozenset({'青线椒'}),0.00012851818532322323,0.022105127875594398,0.00012851818532322323,1.0,45.23837209302325,0.00012567727440231403,inf,0.9780205655526992
frozenset({'奶白菜苗'}),frozenset({'竹叶菜'}),0.00012851818532322323,0.04061174656213854,0.00012851818532322323,1.0,24.623417721518987,0.00012329883735225054,inf,0.9595115681233933
frozenset({'田七'}),frozenset({'小米椒'}),0.00012851818532322323,0.03007325536563424,0.00012851818532322323,1.0,33.25213675213675,0.00012465322511687004,inf,0.9700514138817481
frozenset({'赤松茸'}),frozenset({'杏鲍菇(2)'}),0.00012851818532322323,0.009381827528595297,0.00012851818532322323,1.0,106.58904109589041,0.0001273124498742327,inf,0.9907455012853471
frozenset({'槐花'}),frozenset({'西峡香菇(1)'}),0.00012851818532322323,0.10345713918519471,0.00012851818532322323,1.0,9.66583850931677,0.00011522206153640988,inf,0.8966580976863754
frozenset({'水果辣椒'}),frozenset({'金针菇(盒)'}),0.00012851818532322323,0.03341472818403804,0.00012851818532322323,1.0,29.926923076923078,0.0001242237850939419,inf,0.9667095115681233
frozenset({'洪湖莲藕(脆藕)'}),frozenset({'芜湖青椒(1)'}),0.00012851818532322323,0.1582058861328878,0.00012851818532322323,1.0,6.320877335499594,0.000108185851929972,inf,0.8419023136246786
frozenset({'白玉菇(1)'}),frozenset({'白玉菇(袋)'}),0.00012851818532322323,0.005140727412928929,0.00012851818532322323,1.0,194.525,0.00012785750836487224,inf,0.9949871465295629
frozenset({'紫白菜(1)'}),frozenset({'竹叶菜'}),0.00012851818532322323,0.04061174656213854,0.00012851818532322323,1.0,24.623417721518987,0.00012329883735225054,inf,0.9595115681233933
frozenset({'野藕(2)'}),frozenset({'竹叶菜'}),0.00012851818532322323,0.04061174656213854,0.00012851818532322323,1.0,24.623417721518987,0.00012329883735225054,inf,0.9595115681233933
frozenset({'紫苏(份)'}),frozenset({'芜湖青椒(1)'}),0.00012851818532322323,0.1582058861328878,0.00012851818532322323,1.0,6.320877335499594,0.000108185851929972,inf,0.8419023136246786
frozenset({'荠菜'}),frozenset({'紫茄子(2)'}),0.00012851818532322323,0.06104613802853104,0.00012851818532322323,1.0,16.381052631578946,0.00012067264644280541,inf,0.9390745501285347
frozenset({'菌菇火锅套餐(份)'}),frozenset({'紫茄子(2)'}),0.00012851818532322323,0.06104613802853104,0.00012851818532322323,1.0,16.381052631578946,0.00012067264644280541,inf,0.9390745501285347
frozenset({'紫螺丝椒'}),frozenset({'西峡香菇(1)'}),0.00012851818532322323,0.10345713918519471,0.00012851818532322323,1.0,9.66583850931677,0.00011522206153640988,inf,0.8966580976863754
frozenset({'野生粉藕'}),frozenset({'红椒(1)'}),0.00012851818532322323,0.029944737180311015,0.00012851818532322323,1.0,33.39484978540772,0.00012466974204082882,inf,0.9701799485861183
frozenset({'青菜苔'}),frozenset({'红椒(1)'}),0.00012851818532322323,0.029944737180311015,0.00012851818532322323,1.0,33.39484978540772,0.00012466974204082882,inf,0.9701799485861183
frozenset({'鲜木耳(2)'}),frozenset({'芜湖青椒(1)'}),0.00012851818532322323,0.1582058861328878,0.00012851818532322323,1.0,6.320877335499594,0.000108185851929972,inf,0.8419023136246786
